         10x12WE                  (10x12WE.dat)                                                                                                                           
         v2020-0506                                                                                                                                                       
         Simulation Date: 03/09/2021                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
        46.2        1.22      0.7583      0.0527      0.0848       0.044       0.688       0.268      32.551       0.078       1.194       3.740        0.17      59985.  
        48.2        1.27      0.7392      0.0425      0.0731       0.038       0.593       0.217      28.061       0.067       0.963       3.500        0.17      60523.  
        50.1        1.32      0.7034      0.0322      0.0605       0.031       0.491       0.164      23.215       0.055       0.729       3.203        0.17      61077.  
        52.0        1.37      0.6314      0.0216      0.0470       0.024       0.381       0.110      18.034       0.043       0.490       2.768        0.17      61648.  
        54.0        1.42      0.4745      0.0109      0.0327       0.017       0.265       0.055      12.535       0.030       0.247       2.006        0.17      62235.  
        55.9        1.48     -0.0003      0.0000      0.0175       0.009       0.142       0.000       6.723       0.016       0.000      -0.001        0.18      62838.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       5000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1448      0.0817       0.082       1.035       1.153      61.248       0.117       5.128       8.538        0.20      66575.  
         2.4        0.05      0.0864      0.1449      0.0854       0.086       1.082       1.154      64.017       0.122       5.133       8.176        0.20      66590.  
         4.8        0.10      0.1653      0.1451      0.0893       0.090       1.132       1.155      66.974       0.128       5.139       7.824        0.20      66637.  
         7.2        0.15      0.2372      0.1453      0.0935       0.094       1.185       1.157      70.117       0.134       5.146       7.484        0.20      66714.  
         9.6        0.20      0.3025      0.1455      0.0979       0.098       1.241       1.159      73.409       0.140       5.154       7.159        0.20      66823.  
        12.0        0.25      0.3617      0.1457      0.1025       0.103       1.299       1.160      76.838       0.147       5.161       6.849        0.20      66962.  
        14.5        0.31      0.4153      0.1459      0.1072       0.108       1.359       1.162      80.397       0.154       5.167       6.553        0.20      67132.  
        16.9        0.36      0.4638      0.1460      0.1121       0.113       1.421       1.163      84.084       0.161       5.172       6.272        0.20      67331.  
        19.3        0.41      0.5076      0.1461      0.1172       0.118       1.485       1.163      87.858       0.168       5.175       6.006        0.20      67561.  
        21.7        0.46      0.5472      0.1461      0.1223       0.123       1.550       1.163      91.680       0.175       5.175       5.756        0.20      67821.  
        24.1        0.51      0.5829      0.1459      0.1274       0.128       1.615       1.162      95.537       0.182       5.170       5.518        0.20      68110.  
        26.5        0.56      0.6187      0.1456      0.1317       0.132       1.670       1.160      98.784       0.189       5.158       5.325        0.20      68428.  
        28.9        0.61      0.6476      0.1445      0.1363       0.137       1.727       1.151     102.169       0.195       5.119       5.109        0.20      68774.  
        31.3        0.66      0.6735      0.1423      0.1398       0.141       1.772       1.133     104.820       0.200       5.041       4.904        0.20      69149.  
        33.7        0.71      0.6963      0.1389      0.1421       0.143       1.801       1.106     106.543       0.203       4.919       4.708        0.20      69551.  
        36.1        0.76      0.7163      0.1341      0.1429       0.144       1.812       1.068     107.174       0.205       4.752       4.521        0.20      69981.  
        38.6        0.81      0.7374      0.1281      0.1414       0.142       1.793       1.020     106.058       0.203       4.538       4.363        0.20      70438.  
        41.0        0.87      0.7598      0.1204      0.1370       0.138       1.737       0.958     102.747       0.196       4.263       4.231        0.21      70920.  
        43.4        0.92      0.7736      0.1114      0.1319       0.133       1.672       0.887      98.885       0.189       3.945       4.069        0.21      71428.  
        45.8        0.97      0.7846      0.1022      0.1259       0.127       1.596       0.814      94.440       0.180       3.621       3.909        0.21      71962.  
        48.2        1.02      0.7927      0.0928      0.1192       0.120       1.511       0.739      89.385       0.171       3.289       3.752        0.21      72520.  
        50.6        1.07      0.7985      0.0833      0.1115       0.112       1.413       0.663      83.584       0.160       2.951       3.600        0.21      73102.  
        53.0        1.12      0.8014      0.0736      0.1028       0.103       1.302       0.586      77.048       0.147       2.606       3.448        0.21      73707.  
        55.4        1.17      0.8068      0.0639      0.0927       0.093       1.175       0.509      69.525       0.133       2.264       3.321        0.21      74336.  
        57.8        1.22      0.7999      0.0538      0.0822       0.083       1.042       0.429      61.615       0.118       1.907       3.155        0.21      74987.  
        60.2        1.27      0.7835      0.0435      0.0707       0.071       0.896       0.347      52.993       0.101       1.542       2.967        0.21      75659.  
        62.6        1.32      0.7489      0.0330      0.0583       0.059       0.739       0.263      43.689       0.083       1.168       2.727        0.22      76353.  
        65.1        1.37      0.6768      0.0222      0.0450       0.045       0.571       0.177      33.756       0.064       0.786       2.373        0.22      77067.  
        67.5        1.42      0.5142      0.0112      0.0309       0.031       0.392       0.089      23.188       0.044       0.395       1.739        0.22      77801.  
        69.9        1.48     -0.0006      0.0000      0.0159       0.016       0.201       0.000      11.904       0.023       0.000      -0.002        0.22      78555.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       6000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1429      0.0764       0.133       1.395       1.639      99.035       0.158       7.288       7.504        0.24      79890.  
         2.9        0.05      0.0909      0.1430      0.0801       0.139       1.462       1.640     103.791       0.165       7.296       7.168        0.24      79909.  
         5.8        0.10      0.1736      0.1432      0.0840       0.146       1.534       1.642     108.871       0.173       7.305       6.842        0.24      79964.  
         8.7        0.15      0.2484      0.1434      0.0882       0.153       1.610       1.645     114.281       0.182       7.317       6.529        0.24      80058.  
        11.6        0.20      0.3161      0.1437      0.0926       0.161       1.690       1.648     119.991       0.191       7.330       6.229        0.24      80188.  
        14.5        0.25      0.3770      0.1439      0.0972       0.169       1.774       1.651     125.954       0.200       7.343       5.945        0.24      80355.  
        17.4        0.31      0.4320      0.1442      0.1020       0.177       1.861       1.653     132.136       0.210       7.355       5.676        0.24      80559.  
        20.3        0.36      0.4814      0.1444      0.1069       0.186       1.951       1.656     138.514       0.220       7.365       5.422        0.24      80799.  
        23.1        0.41      0.5258      0.1445      0.1120       0.195       2.044       1.658     145.092       0.231       7.373       5.182        0.24      81075.  
        26.0        0.46      0.5658      0.1446      0.1172       0.204       2.138       1.659     151.797       0.242       7.377       4.956        0.24      81387.  
        28.9        0.51      0.6017      0.1446      0.1224       0.213       2.233       1.658     158.541       0.252       7.375       4.743        0.24      81734.  
        31.8        0.56      0.6339      0.1443      0.1275       0.222       2.327       1.655     165.228       0.263       7.362       4.543        0.24      82116.  
        34.7        0.61      0.6651      0.1437      0.1320       0.229       2.410       1.648     171.053       0.272       7.330       4.369        0.24      82533.  
        37.6        0.66      0.6910      0.1420      0.1360       0.236       2.482       1.628     176.202       0.280       7.241       4.190        0.24      82983.  
        40.5        0.71      0.7141      0.1389      0.1387       0.241       2.531       1.593     179.654       0.286       7.084       4.021        0.24      83467.  
        43.4        0.76      0.7343      0.1344      0.1398       0.243       2.552       1.542     181.195       0.288       6.858       3.859        0.24      83983.  
        46.3        0.81      0.7524      0.1286      0.1392       0.242       2.541       1.474     180.373       0.287       6.558       3.707        0.25      84531.  
        49.2        0.87      0.7688      0.1210      0.1363       0.237       2.487       1.388     176.543       0.281       6.173       3.565        0.25      85111.  
        52.1        0.92      0.7841      0.1121      0.1310       0.228       2.391       1.285     169.736       0.270       5.716       3.434        0.25      85722.  
        55.0        0.97      0.8034      0.1030      0.1241       0.216       2.265       1.181     160.764       0.256       5.255       3.333        0.25      86363.  
        57.9        1.02      0.8140      0.0937      0.1172       0.204       2.139       1.074     151.861       0.242       4.778       3.209        0.25      87034.  
